llk.qq.com                    	101.226.129.142
cdn.qq.com                    	0.0.0.1
video.qq.com                  	111.30.144.80
union.qq.com                  	120.198.201.237
rr.qq.com                     	0.0.0.1
fun.qq.com                    	111.30.138.168
x2.tc.qq.com                  	111.13.140.89
index.qq.com                  	0.0.0.1
monster.qq.com                	0.0.0.1
ok.qq.com                     	117.135.169.52
yuedu.qq.com                  	0.0.0.1
az.qq.com                     	0.0.0.1
rpg.qq.com                    	111.13.140.89
wsop.qq.com                   	0.0.0.1
w.qq.com                      	121.51.142.15
popo.qq.com                   	0.0.0.1
conf.qq.com                   	0.0.0.1
supplier.qq.com               	121.51.142.32
bj.qq.com                     	111.30.144.71
email.qq.com                  	183.232.103.164, 183.232.121.178, 183.232.94.122, 183.232.98.190
nc.qq.com                     	117.135.175.159
cv.qq.com                     	0.0.0.1
fk.qq.com                     	121.51.131.150, 121.51.8.49
source.qq.com                 	183.192.196.229
gf.qq.com                     	0.0.0.1
ops.qq.com                    	0.0.0.1
ajax.qq.com                   	120.204.10.176
np.qq.com                     	0.0.0.1
soho.qq.com                   	111.30.137.24, 111.30.144.106
school.qq.com                 	117.144.245.218
green.qq.com                  	111.30.132.101
dt.qq.com                     	111.30.132.41
xh.qq.com                     	117.135.169.35
co.qq.com                     	0.0.0.1
hot.qq.com                    	111.30.137.24, 111.30.144.106
acc.qq.com                    	121.51.131.14, 121.51.142.62
security.qq.com               	183.192.202.175
gov.qq.com                    	0.0.0.1
box.qq.com                    	111.13.140.89
at.qq.com                     	111.30.137.24, 111.30.144.106
mail.qq.com                   	183.232.103.164, 183.232.121.178, 183.232.94.122, 183.232.98.190
lb.qq.com                     	0.0.0.1
pub.qq.com                    	0.0.0.1
sandbox.api.unipay.qq.com     	121.51.131.150, 121.51.8.49
gps.qq.com                    	0.0.0.1
boss.qq.com                   	0.0.0.1
af.qq.com                     	111.13.140.89
feedback.qq.com               	111.30.137.24, 111.30.144.106
jc.qq.com                     	0.0.0.1
wns.qq.com                    	111.30.132.41
pengyou.qq.com                	117.144.245.218
qc.qq.com                     	0.0.0.1
zh.qq.com                     	0.0.0.1
ws.qq.com                     	220.194.95.185
mk.qq.com                     	0.0.0.1
et.qq.com                     	0.0.0.1
ls.qq.com                     	0.0.0.1
jz.qq.com                     	121.51.142.84
qd.qq.com                     	0.0.0.1
mx.qq.com                     	0.0.0.1
ft.qq.com                     	0.0.0.1
mmm.qq.com                    	0.0.0.1
trip.qq.com                   	0.0.0.1
ns3.qq.com                    	112.60.1.69, 183.192.201.116
palm.qq.com                   	111.30.159.165
yes.qq.com                    	0.0.0.1
mir.qq.com                    	111.13.140.89
mir.qq.com.cloud.tc.qq.com    	111.13.140.89
wg.qq.com                     	0.0.0.1
amp.qq.com                    	0.0.0.1
xb.qq.com                     	0.0.0.1
j.qq.com                      	111.13.140.89
broadcast.qq.com              	0.0.0.1
we.qq.com                     	120.198.203.208
ld.qq.com                     	0.0.0.1
cps.qq.com                    	121.51.36.41, 183.192.199.14
notice.qq.com                 	182.254.106.26
un.qq.com                     	221.180.219.196, 221.180.219.207
retail.qq.com                 	111.30.137.24, 111.30.144.106
dream.qq.com                  	111.30.132.101
pad.qq.com                    	0.0.0.1
sign.qq.com                   	0.0.0.1
bobo.qq.com                   	183.192.196.27
im2.qq.com                    	111.30.159.165
srv.qq.com                    	0.0.0.1
ck.qq.com                     	0.0.0.1
wo.qq.com                     	0.0.0.1
midas.qq.com                  	183.232.119.227, 183.232.125.243
d5.qq.com                     	0.0.0.1
forest.qq.com                 	0.0.0.1
wx2.qq.com                    	120.198.201.145, 183.232.103.146
qh.qq.com                     	0.0.0.1
ad1.qq.com                    	0.0.0.1
v5.qq.com                     	111.30.137.109
see.qq.com                    	0.0.0.1
joy.qq.com                    	111.30.144.71
epc.qq.com                    	0.0.0.1
cod.qq.com                    	111.13.140.89
xn.qq.com                     	0.0.0.1
vip1.qq.com                   	183.232.91.110
encore.qq.com                 	0.0.0.1
super.qq.com                  	183.232.98.193
c.amp.qq.com                  	0.0.0.1
sjb.qq.com                    	121.51.130.194
app1.qq.com                   	0.0.0.1
c4.qq.com                     	0.0.0.1
shouji.qq.com                 	111.30.132.101
t.acc.qq.com                  	121.51.130.220
image.mir.qq.com              	111.13.140.89
auto.qq.com                   	111.30.144.71
b.qq.com                      	183.232.91.113
business.qq.com               	111.30.144.71
https.qq.com                  	111.30.144.71
cge.qq.com                    	183.192.196.175
software.qq.com               	0.0.0.1
demo.qq.com                   	0.0.0.1
group.qq.com                  	120.198.199.51
live.qq.com                   	221.180.219.196, 221.180.219.207
t.qq.com                      	111.30.159.209
car.qq.com                    	0.0.0.1
jobs.qq.com                   	182.254.50.48
3d.qq.com                     	111.13.140.89
ee.qq.com                     	0.0.0.1
apple.qq.com                  	182.254.33.38
happy.qq.com                  	183.232.98.145
app.happy.qq.com              	183.232.98.145
jp.qq.com                     	111.30.144.14
nl.qq.com                     	111.13.38.117
pr.qq.com                     	0.0.0.1
mtv.qq.com                    	0.0.0.1
ftx.qq.com                    	0.0.0.1
hn.qq.com                     	111.30.144.71
sec.qq.com                    	0.0.0.1
cm.qq.com                     	0.0.0.1
fm.qq.com                     	111.13.34.21
webdev.qq.com                 	120.204.10.176
nd.qq.com                     	117.144.244.102
nr.qq.com                     	111.13.140.91
cert.qq.com                   	0.0.0.1
rc.qq.com                     	111.13.140.89
sl.qq.com                     	111.13.140.89
antivirus.qq.com              	0.0.0.1
ak.qq.com                     	0.0.0.1
ly.qq.com                     	111.30.144.71
ks.qq.com                     	0.0.0.1
ent.qq.com                    	111.30.144.71
zb.qq.com                     	111.13.140.91
style.tcdn.qq.com             	111.13.140.91
p21.tc.qq.com                 	111.13.140.91
da.qq.com                     	111.13.140.89
dp.qq.com                     	111.13.140.89
rp.qq.com                     	0.0.0.1
zt.qq.com                     	111.13.140.89
football.qq.com               	112.25.58.224, 223.111.108.238, 223.111.153.185, 223.111.153.231, 223.111.158.51, 223.111.97.224
zy.qq.com                     	0.0.0.1
football.qq.com.cloud.tc.qq.com	112.25.58.224, 223.111.108.238, 223.111.153.185, 223.111.153.231, 223.111.158.51, 223.111.97.224
dp.qq.com.cloud.tc.qq.com     	111.13.140.89
dl1023.tcdn.qq.com            	112.25.58.224, 223.111.108.238, 223.111.153.185, 223.111.153.231, 223.111.158.51, 223.111.97.224
4g.qq.com                     	120.204.10.176
zt.qq.com.cloud.tc.qq.com     	111.13.140.89
888.qq.com                    	120.204.23.180, 121.51.36.126
jf.qq.com                     	111.13.140.89
x2.tcdn.qq.com                	111.13.140.89
fusion.qq.com                 	120.198.203.185
dg.qq.com                     	0.0.0.1
webapp.qq.com                 	111.30.132.101
jf.tc.qq.com                  	111.13.140.89
mg.qq.com                     	111.13.140.91
wei.qq.com                    	121.51.131.47
rc.qq.com.cloud.tc.qq.com     	111.13.140.89
ln.qq.com                     	111.30.144.71
pet.qq.com                    	111.13.140.89
jf.tcdn.qq.com                	111.13.140.89
enterprise.qq.com             	183.232.91.113
http.qq.com                   	111.30.132.101
comic.qq.com                  	117.135.172.142
pet.tc.qq.com                 	111.13.140.89
work.qq.com                   	182.254.50.48
compass.qq.com                	183.232.88.153
monitoring.qq.com             	0.0.0.1
asset.qq.com                  	10.125.54.15
ping.qq.com                   	0.0.0.1
drive.qq.com                  	0.0.0.1
fast.qq.com                   	0.0.0.1
xc.qq.com                     	111.30.144.86, 111.30.144.87
p21.tcdn.qq.com               	111.13.140.91
ams.qq.com                    	111.13.140.89
brand.qq.com                  	0.0.0.1
jk.qq.com                     	0.0.0.1
picture.qq.com                	120.204.10.176
jn.qq.com                     	111.30.132.101
hero.qq.com                   	0.0.0.1
ao.qq.com                     	0.0.0.1
rl.qq.com                     	111.13.140.89
114.qq.com                    	182.254.106.31
peixun.qq.com                 	0.0.0.1
yn.qq.com                     	111.30.132.101
ib.qq.com                     	111.13.140.89
c2.qq.com                     	111.13.140.89
hl.qq.com                     	111.13.140.89
shenyang.qq.com               	111.30.137.24, 111.30.144.106
weibo.qq.com                  	111.30.159.209
snow.qq.com                   	0.0.0.1
garden.qq.com                 	0.0.0.1
lining.qq.com                 	0.0.0.1
todo.qq.com                   	0.0.0.1
dalian.qq.com                 	111.30.144.71
bao.qq.com                    	183.192.202.187
kd.qq.com                     	121.51.142.64
intel.qq.com                  	0.0.0.1
vnet.qq.com                   	0.0.0.1
22.qq.com                     	0.0.0.1
jipiao.qq.com                 	0.0.0.1
amber.qq.com                  	0.0.0.1
l2.qq.com                     	111.30.144.37
mgw.qq.com                    	0.0.0.1
yb.qq.com                     	111.30.137.24, 111.30.144.106
m.888.qq.com                  	121.51.36.126, 121.51.67.155
app.auto.qq.com               	0.0.0.1
3g.auto.qq.com                	111.30.132.101
admin.auto.qq.com             	0.0.0.1
activity.auto.qq.com          	183.232.93.175
db.auto.qq.com                	183.232.95.239
forum.auto.qq.com             	111.30.132.101
i.auto.qq.com                 	0.0.0.1
img.auto.qq.com               	111.13.140.35, 111.13.140.36, 111.13.140.37, 111.13.140.38, 111.13.140.39, 111.13.140.42
image.auto.qq.com             	183.232.93.175
img.auto.qq.com.cloud.tc.qq.com	111.13.140.35, 111.13.140.36, 111.13.140.37, 111.13.140.38, 111.13.140.39, 111.13.140.42
app1.qq.com                   	0.0.0.1
fans.qq.com                   	0.0.0.1
cgi.data.auto.qq.com          	183.232.93.175
m.auto.qq.com                 	0.0.0.1
bbs.fans.qq.com               	0.0.0.1
search.group.qq.com           	0.0.0.1
img.happy.qq.com              	111.13.140.89
img.group.qq.com              	0.0.0.1
imghappy.tc.qq.com            	111.13.140.89
api.hn.qq.com                 	183.61.56.28
api.city.qq.com               	183.61.56.28
city.cd.qq.com                	183.61.56.28
app.m.auto.qq.com             	0.0.0.1
t.app.m.auto.qq.com           	183.3.235.80
res.rl.qq.com                 	111.13.140.89
res.rl.qq.com.cloud.tc.qq.com 	111.13.140.89
app.t.qq.com                  	111.30.132.101
apps.t.qq.com                 	111.30.159.209
3g.t.qq.com                   	0.0.0.1
search.t.qq.com               	111.30.159.209
w.t.qq.com                    	111.30.159.209
wap.t.qq.com                  	111.30.159.209
api.t.qq.com                  	117.184.242.181
demo.t.qq.com                 	10.133.42.26
e.t.qq.com                    	111.30.159.209
proxy.t.qq.com                	111.30.159.209
m.api.t.qq.com                	121.51.142.15
weixin.t.qq.com               	111.30.132.101
image.zt.qq.com.cloud.tc.qq.com	111.13.140.91
